Overall (21/02/2021)  67619/70569  (Translation 98%)


Introductory Chapter  10769/10769  (Translation 100%)(TLC 45%)


  1001:               63/63        (Translation 100%)(Edited)(TLCd)
  1002:               502/502      (Translation 100%)(Edited)(TLCd)
  1003:               379/379      (Translation 100%)(Edited)(TLCd)
  1004:               356/356      (Translation 100%)(Edited)(TLCd)
  1005:               1420/1420    (Translation 100%)(Edited)(TLCd)
  1006:               750/750      (Translation 100%)(Edited)(TLCd)
  1006_2:             839/839      (Translation 100%)(Edited)(TLCd)
  1007:               1438/1438    (Translation 100%)(Edited)
  1008:               296/296      (Translation 100%)(Edited)
  1008_020:           17/17        (Translation 100%)(Edited)
  1008_030:           248/248      (Translation 100%)(Edited)
  1008_040:           81/81        (Translation 100%)(Edited)
  1008_050:           188/188      (Translation 100%)(Edited)
  1009:               221/221      (Translation 100%)(Edited)
  1009_020:           113/113      (Translation 100%)(Edited)
  1009_030:           85/85        (Translation 100%)(Edited)
  1010:               329/329      (Translation 100%)(Edited)
  1010_020:           61/61        (Translation 100%)(Edited)
  1010_030:           769/769      (Translation 100%)(Edited)
  1010_040:           18/18        (Translation 100%)(Edited)
  1010_050:           110/110      (Translation 100%)(Edited)
  1010_060:           10/10        (Translation 100%)(Edited)
  1010_070:           5/5          (Translation 100%)(Edited)
  1011:               354/354      (Translation 100%)(Edited)
  1011_020:           30/30        (Translation 100%)(Edited)
  1011_030:           657/657      (Translation 100%)(Edited)
  1012:               433/433      (Translation 100%)(Edited)
  1012_020:           46/46        (Translation 100%)(Edited)
  1012_030:           309/309      (Translation 100%)(Edited)
  1012_030_2:         324/324      (Translation 100%)(Edited)
  1013:               318/318      (Translation 100%)(Edited)


Closing Chapter       35271/35271  (Translation 100%)


  2001:               442/442      (Translation 100%)(Edited)
  2002:               476/476      (Translation 100%)(Edited)
  2003:               729/729      (Translation 100%)(Edited)
  2004:               115/115      (Translation 100%)(Edited)
  2005:               367/367      (Translation 100%)(Edited)
  2006:               212/212      (Translation 100%)(Edited)
  2007:               425/425      (Translation 100%)(Edited)
  2008:               93/93        (Translation 100%)(Edited)
  2009:               1154/1154    (Translation 100%)(Edited)
  2010:               183/183      (Translation 100%)(Edited)
  2011:               211/211      (Translation 100%)(Edited)
  2012:               550/550      (Translation 100%)(Edited)
  2013:               592/592      (Translation 100%)(Edited)
  2014:               350/350      (Translation 100%)(Edited)
  2015:               369/369      (Translation 100%)(Edited)
  2016:               569/569      (Translation 100%)(Edited)
  2017:               314/314      (Translation 100%)(Edited)
  2018:               561/561      (Translation 100%)(Edited)
  2019:               983/983      (Translation 100%)(Edited)
  2020:               45/45        (Translation 100%)(Edited)
  2021:               176/176      (Translation 100%)(Edited)
  2022:               275/275      (Translation 100%)(Edited)
  2023:               302/302      (Translation 100%)(Edited)
  2024:               324/324      (Translation 100%)(Edited)
  2025:               201/201      (Translation 100%)(Edited)
  2026:               241/241      (Translation 100%)(Edited)
  2027:               709/709      (Translation 100%)(Edited)
  2028:               170/170      (Translation 100%)(Edited)
  2029:               780/780      (Translation 100%)(Edited)
  2030:               616/616      (Translation 100%)(Edited)
  2031:               1048/1048    (Translation 100%)(Edited)
